Week Start,Week End,Total,Students,Staff
2021-09-13,2021-09-19,976,592,384
2021-09-20,2021-09-26,1245,943,302
2021-09-27,2021-10-03,1080,823,257
2021-10-04,2021-10-10,999,779,220
2021-10-11,2021-10-17,836,662,174
2021-10-18,2021-10-24,659,502,157
2021-10-25,2021-10-31,613,500,113
2021-11-01,2021-11-07,712,552,160
2021-11-08,2021-11-14,884,683,201
2021-11-15,2021-11-21,1284,983,301
2021-11-22,2021-11-28,1018,730,288
2021-11-29,2021-12-05,2118,1543,575
2021-12-06,2021-12-12,2659,2019,640
2021-12-13,2021-12-19,4584,3093,1491
2021-12-20,2021-12-26,4897,3193,1704
2021-12-27,2022-01-02,7596,4570,3026
2022-01-03,2022-01-09,69843,51452,18391
2022-01-10,2022-01-16,43179,37041,6138
2022-01-17,2022-01-23,15979,13259,2720
2022-01-24,2022-01-30,7711,6268,1443
2022-01-31,2022-02-06,3053,2436,617
2022-02-07,2022-02-13,1906,1521,385
2022-02-14,2022-02-20,1155,858,297
2022-02-21,2022-02-27,159,108,51
2022-02-28,2022-03-06,1054,728,326
2022-03-07,2022-03-13,829,566,263
2022-03-14,2022-03-20,1117,801,316
2022-03-21,2022-03-27,1602,1139,463
2022-03-28,2022-04-03,2005,1411,594
2022-04-04,2022-04-10,2877,1969,908
2022-04-11,2022-04-17,2967,2006,961
2022-04-18,2022-04-24,619,410,209
2022-04-25,2022-05-01,4936,3384,1552
2022-05-02,2022-05-08,6669,4800,1869
2022-05-09,2022-05-15,9911,7241,2670
2022-05-16,2022-05-22,10706,7888,2818
2022-05-23,2022-05-29,8318,6073,2245
2022-05-30,2022-06-05,6179,4477,1702
2022-06-06,2022-06-12,4351,3037,1314
2022-06-13,2022-06-19,4026,2756,1270
2022-06-20,2022-06-26,3236,1910,1326
2022-06-27,2022-07-03,967,365,602
2022-07-04,2022-07-10,367,134,233
2022-07-11,2022-07-17,1186,707,479
2022-07-18,2022-07-24,1628,1110,518
2022-07-25,2022-07-31,1603,1080,523
2022-08-01,2022-08-07,1159,763,396
2022-08-08,2022-08-14,728,421,307
2022-08-15,2022-08-21,152,64,88
2022-08-22,2022-08-28,183,95,88
2022-08-29,2022-09-04,216,118,98
2022-09-05,2022-09-11,768,325,443
2022-09-12,2022-09-18,3568,2536,1032
2022-09-19,2022-09-25,5351,3785,1566
2022-09-26,2022-10-02,2689,1677,1012
2022-10-03,2022-10-09,2335,1480,855
2022-10-10,2022-10-16,2189,1310,879
2022-10-17,2022-10-23,2319,1481,838
2022-10-24,2022-10-30,2989,1799,1190
2022-10-31,2022-11-06,3569,2208,1361
2022-11-07,2022-11-13,2925,1800,1125
2022-11-14,2022-11-20,3600,2010,1590
2022-11-21,2022-11-27,2682,1590,1092
2022-11-28,2022-12-04,6094,3637,2457
2022-12-05,2022-12-11,5630,3395,2235
2022-12-12,2022-12-18,6231,3713,2518
2022-12-19,2022-12-25,5673,3350,2323
2022-12-26,2023-01-01,86,38,48
2023-01-02,2023-01-08,3646,1894,1752
2023-01-09,2023-01-15,3725,2305,1420
2023-01-16,2023-01-22,3523,2241,1282
2023-01-23,2023-01-29,3151,1878,1273
2023-01-30,2023-02-05,2681,1645,1036
2023-02-06,2023-02-12,1750,1052,698
2023-02-13,2023-02-19,1193,702,491
2023-02-20,2023-02-26,48,15,33
2023-02-27,2023-03-05,722,303,419
2023-03-06,2023-03-12,633,306,327
